458,Dion,Prestia,10,,Gold Coast,,
459,Matt,Priddis,11,,West Coast,,
460,Paul,Puopolo,28,,Hawthorn,,
461,Mike,Pyke,38,,Sydney,,
462,Andrew,Raines,29,,Brisbane,,
463,Dane,Rampe,43,,Sydney,,
464,Alex,Rance,18,,Richmond,,
465,Farren,Ray,22,,St Kilda,,
466,Jack,Redden,30,,Brisbane,,
467,Jarrad,Redden,34,,Port Adelaide,,
468,Ben,Reid,20,,Collingwood,,
469,Sam,Reid,20,,Sydney,,
470,Sam,Reid,23,,GWS,,
471,Brent,Reilly,3,,Adelaide,,
472,Brent,Renouf,4,,Port Adelaide,,
473,Daniel,Rich,10,,Brisbane,,
474,Ted,Richards,25,,Sydney,,
475,Xavier,Richards,42,,Sydney,,
476,Jack,Riewoldt,8,,Richmond,,
477,Nick,Riewoldt,12,,St Kilda,,
478,Aidan,Riley,43,,Adelaide,,
479,Cyril,Rioli,33,,Hawthorn,,
480,Michael,Rischitelli,35,,Gold Coast,,
481,Jared,Rivers,25,,Geelong,,
482,Dylan,Roberton,17,,St Kilda,,
483,Lewis,Roberts-Thomson,30,,Sydney,,
484,Mitch,Robinson,12,,Carlton,,
485,Tom,Rockliff,38,,Brisbane,,
486,David,Rodan,15,,Melbourne,,
487,Matt,Rosa,24,,West Coast,,
488,Sebastian,Ross,6,,St Kilda,,
489,Jarryd,Roughead,2,,Hawthorn,,
490,Jordan,Roughead,23,,Western Bulldogs,,
491,Sam,Rowe,17,,Carlton,,
492,Luke,Russell,8,,Gold Coast,,
493,Jordan,Russell,2,,Collingwood,,
494,Ben,Rutten,25,,Adelaide,,
495,Patrick,Ryder,30,,Essendon,,
496,Ahmed,Saad,21,,St Kilda,,
497,Aaron,Sandilands,31,,Fremantle,,
498,Josh,Saunders,35,,St Kilda,,
499,Shane,Savage,21,,Hawthorn,,
500,Adam,Schneider,13,,St Kilda,,
501,Ryan,Schoenmakers,25,,Hawthorn,,
502,Will,Schofield,31,,West Coast,,
503,Jordan,Schroder,15,,Geelong,,
504,Jay,Schulz,28,,Port Adelaide,,
505,Heath,Scotland,29,,Carlton,,
506,Tom,Scully,9,,GWS,,
507,Paul,Seedsman,40,,Collingwood,,
508,James,Sellar,30,,Melbourne,,
509,Joel,Selwood,14,,Geelong,,
510,Scott,Selwood,10,,West Coast,,
511,Adam,Selwood,37,,West Coast,,
512,Brad,Sewell,12,,Hawthorn,,
513,Alex,Sexton,6,,Gold Coast,,
514,Matt,Shaw,26,,Gold Coast,,
515,Heath,Shaw,39,,Collingwood,,
516,Rhyce,Shaw,2,,Sydney,,
517,Brad,Sheppard,5,,West Coast,,
518,Tom,Sheridan,11,,Fremantle,,
519,Dylan,Shiel,5,,GWS,,
520,Liam,Shiels,26,,Hawthorn,,
521,Luke,Shuey,13,,West Coast,,
522,Steele,Sidebottom,22,,Collingwood,,
523,Will,Sierakowski,28,,North Melbourne,,
524,Alex,Silvagni,36,,Fremantle,,
525,Jonathan,Simpkin,32,,Hawthorn,,
526,Tom,Simpkin,31,,St Kilda,,
527,Kade,Simpson,6,,Carlton,,
528,Dawson,Simpson,16,,Geelong,,
529,Callum,Sinclair,22,,West Coast,,
530,Ben,Sinclair,28,,Collingwood,,
531,Arryn,Siposs,2,,St Kilda,,
532,Rory,Sloane,9,,Adelaide,,
533,Billie,Smedts,2,,Geelong,,
534,Devon,Smith,10,,GWS,,
535,Isaac,Smith,16,,Hawthorn,,
536,Clay,Smith,14,,Western Bulldogs,,
537,Zac,Smith,2,,Gold Coast,,
538,Brodie,Smith,33,,Adelaide,,
539,Nick,Smith,40,,Sydney,,
540,Ashley,Smith,28,,West Coast,,
541,Tanner,Smith,22,,Fremantle,,
542,Matthew,Spangher,27,,Hawthorn,,
543,Jake,Spencer,42,,Melbourne,,
544,Lee,Spurr,34,,Fremantle,,
545,Brent,Staker,14,,Brisbane,,
546,Rhys,Stanley,28,,St Kilda,,
547,Danny,Stanley,25,,Gold Coast,,
548,Brent,Stanton,5,,Essendon,,
549,Orren,Stephenson,37,,Richmond,,
550,Jack,Steven,3,,St Kilda,,
551,Koby,Stevens,25,,Western Bulldogs,,
552,Lewis,Stevenson,15,,Port Adelaide,,
553,Paul,Stewart,14,,Port Adelaide,,
554,Daniel,Stewart,43,,Port Adelaide,,
555,Mathew,Stokes,27,,Geelong,,
556,Ben,Stratton,24,,Hawthorn,,
557,James,Strauss,19,,Melbourne,,
558,Jake,Stringer,9,,Western Bulldogs,,
559,Jesse,Stringer,41,,Geelong,,
560,Nick,Suban,8,,Fremantle,,
561,Liam,Sumner,28,,GWS,,
562,Timmy,Sumner,39,,Gold Coast,,
563,Cameron,Sutcliffe,33,,Fremantle,,
564,Andrew,Swallow,9,,North Melbourne,,
565,David,Swallow,24,,Gold Coast,,
566,Dane,Swan,36,,Collingwood,,
567,Colin,Sylvia,12,,Melbourne,,
568,Matthew,Taberner,42,,Fremantle,,
569,Daniel,Talia,12,,Adelaide,,
570,Michael,Talia,32,,Western Bulldogs,,
571,Richard,Tambling,1,,Adelaide,,
572,Seb,Tape,48,,Gold Coast,,
573,Luke,Tapscott,35,,Melbourne,,
574,Robbie,Tarrant,25,,North Melbourne,,
575,Harry,Taylor,7,,Geelong,,
576,Dean,Terlich,46,,Melbourne,,
577,Lindsay,Thomas,12,,North Melbourne,,
578,Josh,Thomas,24,,Collingwood,,
579,Matt,Thomas,21,,Port Adelaide,,
580,Dale,Thomas,13,,Collingwood,,
581,Scott,Thompson,5,,Adelaide,,
582,Rory,Thompson,16,,Gold Coast,,
583,Scott,Thompson,16,,North Melbourne,,
584,Bret,Thornton,46,,GWS,,
585,Jackson,Thurlow,40,,Geelong,,
586,Kurt,Tippett,8,,Sydney,,
587,Adam,Tomlinson,20,,GWS,,
588,Alan,Toovey,34,,Collingwood,,
589,Jimmy,Toumpas,5,,Melbourne,,
590,Jacob,Townsend,31,,GWS,,
591,Adam,Treloar,17,,GWS,,
592,Jack,Trengove,9,,Melbourne,,
593,Jackson,Trengove,12,,Port Adelaide,,
594,Shane,Tuck,21,,Richmond,,
595,Simon,Tunbridge,46,,West Coast,,
596,Zach,Tuohy,42,,Carlton,,
597,Jason,Tutt,15,,Western Bulldogs,,
598,Dom,Tyson,29,,GWS,,
